Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Tuvalu ÇÇ,Baby Food,5/28/2010,669165933,9925,255.28
Grenada ÖÖ,Cereal,8/22/2012,963881480,2804,205.7
Russia,Office Supplies,5/2/2014,,1779,
Sao Tome and Principe,Fruits,6/20/2014,514321792,,9.33
Rwanda,Office Supplies,,115456712,5062,651.21
Solomon Islands,Baby Food,2/4/2015,547995746,2974,255.28
Angola,Household,4/23/2011,,4187,668.27
Burkina Faso ğğ,Vegetables,7/17/2012,,8082,
Republic of the Congo,Personal Care,7/14/2015,770463311,6070,81.73
Senegal,Cereal,4/18/2014,616607081,6593,205.7
Kırgızstan,,6/24/2011,814711606,124,154.06
Cape Verde,Clothes,8/2/2014,939825713,4168,109.28
Bangladeş,Clothes,1/13/2017,187310731,8263,109.28
Honduras,Household,2/8/2017,,,668.27
Mongolia,Personal Care,2/19/2014,832401311,4901,81.73
Bulgaria,Clothes,4/23/2012,972292029,1673,
Sri Lanka,,11/19/2016,419123971,6952,437.2
Cameroon,Beverages,4/1/2015,519820964,5430,47.45
Türkmenistan şş,Household,12/30/2010,441619336,3830,668.27
East Timor,Meat,7/31/2012,322067916,5908,421.89
Norway,Baby Food,5/14/2014,,7450,255.28
Portugal,,,860673511,1273,255.28
Honduras,Snacks,6/30/2016,795490682,2225,152.58
New Zealand,Fruits,9/8/2014,142278373,2187,9.33
Moldova ,Personal Care,5/7/2016,740147912,5070,81.73
