Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Tuvalu ÇÇ,Baby Food,5/28/2010,669165933,9925,255.28
Grenada ÖÖ,Cereal,8/22/2012,963881480,2804,205.7
Russia,Office Supplies,5/2/2014,,1779,
Sao Tome and Principe,Fruits,6/20/2014,514321792,,9.33
Rwanda,Office Supplies,,115456712,5062,651.21
Solomon Islands,Baby Food,2/4/2015,547995746,2974,255.28
Angola,Household,4/23/2011,,4187,668.27
Burkina Faso ğğ,Vegetables,7/17/2012,,8082,
Republic of the Congo,Personal Care,7/14/2015,770463311,6070,81.73
Senegal,Cereal,4/18/2014,616607081,6593,205.7
Kırgızstan,,6/24/2011,814711606,124,154.06
Cape Verde,Clothes,8/2/2014,939825713,4168,109.28
Bangladeş,Clothes,1/13/2017,187310731,8263,109.28
Honduras,Household,2/8/2017,,,668.27
Mongolia,Personal Care,2/19/2014,832401311,4901,81.73
Bulgaria,Clothes,4/23/2012,972292029,1673,
Sri Lanka,,11/19/2016,419123971,6952,437.2
Cameroon,Beverages,4/1/2015,519820964,5430,47.45
Türkmenistan şş,Household,12/30/2010,441619336,3830,668.27
East Timor,Meat,7/31/2012,322067916,5908,421.89
Norway,Baby Food,5/14/2014,,7450,255.28
Portugal,,,860673511,1273,255.28
Honduras,Snacks,6/30/2016,795490682,2225,152.58
New Zealand,Fruits,9/8/2014,142278373,2187,9.33
Moldova ,Personal Care,5/7/2016,740147912,5070,81.73
France,Cosmetics,5/22/2017,898523128,,437.2
Kiribati,Fruits,10/13/2014,347140347,5398,9.33
Mali,Fruits,5/7/2010,686048400,5822,9.33
Norway,,7/18/2014,435608613,5124,47.45
The Gambia,Household,5/26/2012,,2370,
Switzerland,Cosmetics,9/17/2012,249693334,8661,437.2
South Sudan,Personal Care,12/29/2013,406502997,2125,81.73
Australia,Office Supplies,10/27/2015,158535134,2924,651.21
Myanmar,Household,1/16/2015,177713572,8250,668.27
Djibouti,Snacks,2/25/2017,756274640,7327,152.58
Costa Rica,Personal Care,5/8/2017,456767165,6409,81.73
Syria,Fruits,,162052476,3784,9.33
The Gambia,Meat,1/14/2017,825304400,4767,421.89
Brunei,Office Supplies,4/1/2012,320009267,6708,651.21
Bulgaria,Office Supplies,2/16/2012,189965903,3987,651.21
Niger çç,,3/11/2017,,,81.73
Azerbaijan,Cosmetics,2/6/2010,382392299,7234,437.2
The Gambia,Cereal,6/7/2012,994022214,2117,
Slovakia,Vegetables,10/6/2012,759224212,171,154.06
Myanmar,Clothes,11/14/2015,223359620,5930,109.28
Comoros,Cereal,3/29/2016,902102267,962,205.7
Iceland,Cosmetics,12/31/2016,331438481,8867,437.2
Switzerland,Personal Care,12/23/2010,617667090,273,81.73
Macedonia,Clothes,,787399423,7842,109.28
Mauritania,Office Supplies,1/11/2012,837559306,1266,651.21
Albania,,2/2/2010,385383069,2269,109.28
Lesotho,Fruits,8/18/2013,918419539,9606,9.33
Saudi Arabia İİ,Cereal,3/25/2013,844530045,,205.7
Sierra Leone,Office Supplies,11/26/2011,,3457,651.21
Sao Tome and Principe,Fruits,9/17/2013,508980977,7637,9.33
Cote d'Ivoire,Clothes,6/8/2012,114606559,3482,
Fiji,,6/30/2010,647876489,9905,109.28
Austria,Cosmetics,2/23/2015,868214595,2847,437.2
United Kingdom,Household,,955357205,282,668.27
Djibouti,Cosmetics,4/7/2014,259353148,7215,437.2
Australia,Cereal,6/9/2013,450563752,682,205.7
San Marino,Baby Food,6/26/2013,569662845,4750,255.28
Cameroon,Office Supplies,11/7/2011,177636754,5518,651.21
Libya,,10/30/2010,705784308,6116,109.28
Haiti,Cosmetics,10/13/2013,505716836,1705,437.2
Rwanda,Cosmetics,10/11/2013,,,437.2
Gabon ÜÜ,Personal Care,7/8/2012,228944623,8656,81.73
Belize,Clothes,,807025039,5498,
Lithuania,Office Supplies,10/24/2010,166460740,8287,651.21
Madagascar,Clothes,4/25/2015,610425555,7342,109.28
Türkmenistan,Office Supplies,4/23/2013,462405812,5010,651.21
Libya,Fruits,8/14/2015,816200339,673,9.33
Democratic Republic of the Congo,Beverages,,585920464,5741,47.45
Djibouti,Cereal,5/20/2017,555990016,8656,205.7
Pakistan,Cosmetics,7/5/2013,231145322,9892,437.2
Mexico ŞŞ ,Household,11/6/2014,986435210,6954,668.27
Federated States of Micronesia,Beverages,10/28/2014,217221009,9379,47.45
Laos,Vegetables,9/15/2011,789176547,3732,154.06
Monaco,Baby Food,,,,255.28
Samoa ,Cosmetics,7/20/2013,670854651,9654,437.2
Spain,,10/21/2012,213487374,4513,668.27
Lebanon,Clothes,9/18/2012,,7884,
Iran,Cosmetics,11/15/2016,286959302,6489,437.2
Zambia,Snacks,1/4/2011,122583663,4085,152.58
Kenya,Vegetables,,827844560,,154.06
Mexico,,2/17/2012,430915820,6422,81.73
Sao Tome and Principe,Beverages,1/16/2011,180283772,8829,47.45
The Gambia,Baby Food,2/3/2014,494747245,5559,255.28
Kuwait,Fruits,4/30/2012,,,9.33
Slovenia,Beverages,10/23/2016,345718562,4660,47.45
Sierra Leone,Office Supplies,12/6/2016,621386563,948,651.21
