outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id
21.97,4.82,1557.33,22787
1710.08,136.88,7267.55,22788
1710.08,136.88,7267.55,22789
94.46,35.17,519.12,22790
71.59,79.26,1557.33,22792
71.59,79.26,1557.33,22793
71.59,79.26,519.12,22794
71.59,79.26,519.12,22795
30.92,22.77,3114.67,22799
69.8,14.7,25955.55,22801
554.41,150.06,3114.67,22804
189.1,24.08,519.12,22805
283.3,107.47,15573.33,22806
324.34,92.52,519.12,22808
797.06,7.67,519.12,22813
797.06,7.67,15573.33,22814
797.06,7.67,15573.33,22815
797.06,7.67,15573.33,22816
797.06,7.67,15573.33,22817
78.8,327.33,10382.21,22819
78.8,327.33,15573.33,22820
78.8,327.33,15573.33,22822
164.1,192.64,3114.67,22823
208.26,91.76,5191.12,22824
681.44,47.35,1271.39,22829
324.27,91.5,519.12,22830
85.97,26.94,407.01,22831
244.88,105.95,1557.33,22832
135.09,42.02,5191.12,22833
57.49,16.73,15573.33,22839
184.63,153.86,3114.67,22840
103.97,234.72,1557.33,22849
103.97,234.72,1557.33,22850
420.21,274.76,519.12,22852
420.21,274.76,519.12,22853
99.23,35.58,519.12,22854
300.47,169.32,3114.67,22855
21.75,16.21,1557.33,22856
1221.85,69.2,6229.33,22858
74.59,150.59,1038.21,22861
74.59,150.59,1038.21,22862
189.33,7.67,1557.33,22863
67.15,39.03,3114.67,22864
67.15,39.03,3114.67,22865
67.15,39.03,5191.12,22866
29.54,34.78,33.79,22871
109.32,27.86,1557.33,22873
59.54,52.64,519.12,22874
249.26,253.22,1557.33,22875
249.26,253.22,1557.33,22876
287.74,33.97,1557.33,22879
83.46,114.06,3114.67,22880
128.34,1.77,7469.79,22881
43.03,0.47,2076.45,22882
43.03,0.47,2076.45,22883
43.03,0.47,2076.45,22884
227.51,98.66,519.12,22885
74.23,47.4,1557.33,22886
16.24,18.82,1557.33,22887
125.32,38.53,3114.67,22888
316.08,435.29,1620.05,22889
28.85,30.22,3114.67,22890
205.11,273.75,16611.55,22891
67.35,15.38,1557.33,22892
145.55,11.5,3114.67,22895
145.55,11.5,3114.67,22896
66.47,31.68,5191.12,22897
145.55,11.5,4152.88,22902
9.74,11.3,2076.45,22903
178.99,64.38,3114.67,22907
143.81,79.38,9005.49,22908
42.25,37.06,1557.33,22909
8.14,0.79,1777.61,22912
392.95,89.48,1557.33,22916
362.01,14.19,7267.55,22920
362.01,14.19,7267.55,22921
155.71,10.14,1557.33,22922
142.73,61.34,1557.33,22926
142.73,61.34,1557.33,22927
115.26,0.92,1557.33,22931
