city,state_id
Aaronsburg,PA
Ackermanville,PA
Aceitunas,PR
Abbeville,SC
Aberdeen,SD
Adamsville,TN
Adams,TN
Abbott,TX
Abernathy,TX
Addison,TX
Ackerly,TX
Abilene,TX
Abram,TX
Abingdon,VA
Accomac,VA
Aberdeen Gardens,WA
Addy,WA
Aberdeen,WA
Acme,WA
Adams,WI
Abrams,WI
Abbotsford,WI
Adell,WI
Accoville,WV
Addison,WV
Aiken,SC
Ailey,GA
Ainaloa,HI
Ainsworth,IA
Ainsworth,NE
Air Force Academy,CO
Airmont,NY
Airport,CA
Airport Drive,MO
Airport Heights,TX
Airport Road Addition,TX
Airway Heights,WA
Aitkin,MN
Ajo,AZ
Ak-Chin Village,AZ
Akaska,SD
Akeley,MN
Akhiok,AK
Akiachak,AK
Akiak,AK
Akins,OK
Akron,OH
Akron,PA
Akron,CO
Akron,IN
Akron,MI
Akron,NY
Akron,IA
Akron,AL
Akutan,AK
