state_id,cityl,populationl,cityr,populationr
AL,Abbeville,2560,Adamsville,4281
GA,Abbeville,2684,Adairsville,4963
GA,Abbeville,2684,Adel,6989
MA,Acushnet Center,3177,Agawam,28613
MI,Addison,583,Adrian,43689
MI,Addison,583,Ahmeek,144
AL,Abbeville,2560,Akron,328
KY,Adairville,885,Ages,367
MI,Addison,583,Akron,375
MI,Addison,583,Advance,391
GA,Abbeville,2684,Ailey,536
MI,Addison,583,Addison,583
GA,Abbeville,2684,Adrian,668
AL,Abbeville,2560,Addison,718
KY,Adairville,885,Adairville,885
GA,Adairsville,4963,Adairsville,4963
GA,Adairsville,4963,Adel,6989
GA,Adairsville,4963,Ailey,536
GA,Adairsville,4963,Adrian,668
AL,Abanda,176,Adamsville,4281
GA,Adel,6989,Adairsville,4963
GA,Adel,6989,Adel,6989
AL,Abanda,176,Akron,328
GA,Adel,6989,Ailey,536
GA,Adel,6989,Adrian,668
AL,Abanda,176,Addison,718
AL,Adamsville,4281,Adamsville,4281
GA,Acworth,22818,Adairsville,4963
GA,Acworth,22818,Adel,6989
AL,Adamsville,4281,Akron,328
GA,Acworth,22818,Ailey,536
GA,Acworth,22818,Adrian,668
AL,Adamsville,4281,Addison,718
AL,Addison,718,Adamsville,4281
AL,Addison,718,Akron,328
AL,Addison,718,Addison,718
