city,state_id,population
Addis,LA,6221
Acton,CA,7232
Abingdon,VA,7867
Accokeek,MD,11647
Aberdeen,MD,16019
Addison,TX,16263
Adelphi,MD,16377
Abbeville,LA,19470
Aberdeen,SD,28257
Adelanto,CA,34049
Abilene,TX,123420
Acampo,CA,204
Ackerly,TX,232
Accident,MD,312
Acalanes Ridge,CA,1134
Adams,WI,1893
Adamsville,TN,2164
Abram,TX,2328
Adamstown,MD,2512
Abita Springs,LA,2614
Abernathy,TX,2706
Aberdeen Proving Ground,MD,2872
Abbotsford,WI,3833
Abbott,TX,369
Acacia Villas,FL,381
Abrams,WI,461
Accomac,VA,485
Adell,WI,512
Adams,TN,671
