city,state_id,population
Abbeville,GA,2684
Abbeville,MS,423
Abbeville,SC,5019
Abbotsford,WI,3833
Abbott,TX,369
Aberdeen,ID,1977
Aberdeen,MS,5205
Aberdeen,SD,28257
Aberdeen Gardens,WA,337
Abernathy,TX,2706
Abilene,KS,6390
Abiquiu,NM,151
Abram,TX,2328
Acacia Villas,FL,381
Acampo,CA,204
Accomac,VA,485
Accord,NY,560
Ackerman,MS,1448
Ackermanville,PA,632
Ackley,IA,1498
Acomita Lake,NM,574
Acushnet Center,MA,3177
Ada,KS,160
Adairsville,GA,4963
Adairville,KY,885
Adams,ND,119
Adams,TN,671
Adamsville,OH,124
Addison,MI,583
Adeline,IL,80
Adell,WI,512
Adena,OH,704
Adin,CA,171
Adona,AR,206
Adrian,MI,43689
Advance,IN,514
Affton,MO,20148
Agency,IA,643
Ages,KY,367
Agoura Hills,CA,20222
Agra,KS,241
Agra,OK,344
Aguanga,CA,805
Aguilita,PR,4069
Air Force Academy,CO,6512
Airmont,NY,8786
Airport Drive,MO,868
Airway Heights,WA,9485
Ak-Chin Village,AZ,1228
Akeley,MN,443
Akhiok,AK,68
Akins,OK,586
Akron,AL,328
Akron,IN,1105
Akron,MI,375
