Order Date,Country,Item Type,Order ID,Units Sold,Unit Price
2014-02-19T00:00:00.000000000Z,Mongolia,Personal Care,832401311.0,4901.0,81.73
2014-04-07T00:00:00.000000000Z,Djibouti,Cosmetics,259353148.0,7215.0,437.2
2014-04-18T00:00:00.000000000Z,Senegal,Cereal,616607081.0,6593.0,205.7
2014-05-02T00:00:00.000000000Z,Russia,Office Supplies,,1779.0,
2014-05-14T00:00:00.000000000Z,Norway,Baby Food,,7450.0,255.28
2014-06-20T00:00:00.000000000Z,Sao Tome and Principe,Fruits,514321792.0,,9.33
2014-07-07T00:00:00.000000000Z,Australia ÖÖ,Beverages,240470397.0,9389.0,47.45
2014-07-18T00:00:00.000000000Z,Norway,,435608613.0,5124.0,47.45
2014-08-02T00:00:00.000000000Z,Cape Verde,Clothes,939825713.0,4168.0,109.28
2014-09-08T00:00:00.000000000Z,New Zealand,Fruits,142278373.0,2187.0,9.33
2014-10-13T00:00:00.000000000Z,Kiribati,Fruits,347140347.0,5398.0,9.33
2014-10-28T00:00:00.000000000Z,Federated States of Micronesia,Beverages,217221009.0,9379.0,47.45
2014-11-06T00:00:00.000000000Z,Mexico ŞŞ ,Household,986435210.0,6954.0,668.27
2015-01-16T00:00:00.000000000Z,Myanmar,Household,177713572.0,8250.0,668.27
2015-02-04T00:00:00.000000000Z,Solomon Islands,Baby Food,547995746.0,2974.0,255.28
2015-02-23T00:00:00.000000000Z,,Cosmetics,868214595.0,2847.0,437.2
2015-04-01T00:00:00.000000000Z,Cameroon,Beverages,519820964.0,5430.0,47.45
2015-04-25T00:00:00.000000000Z,Madagascar,Clothes,610425555.0,7342.0,109.28
2015-07-14T00:00:00.000000000Z,Republic of the Congo,Personal Care,770463311.0,6070.0,81.73
2015-07-30T00:00:00.000000000Z,Mexico ŞŞ,Personal Care,559427106.0,5767.0,81.73
2015-08-14T00:00:00.000000000Z,Libya,Fruits,816200339.0,673.0,9.33
2015-10-27T00:00:00.000000000Z,Australia,Office Supplies,158535134.0,2924.0,651.21
2015-11-14T00:00:00.000000000Z,,Clothes,223359620.0,5930.0,109.28
