Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Cameroon,Office Supplies,2011-11-07T00:00:00.000000000Z,177636754.0,5518.0,651.21
Brunei,Office Supplies,2012-04-01T00:00:00.000000000Z,320009267.0,6708.0,651.21
Mongolia,Personal Care,2014-02-19T00:00:00.000000000Z,832401311.0,4901.0,81.73
Republic of the Congo,Personal Care,2015-07-14T00:00:00.000000000Z,770463311.0,6070.0,81.73
Costa Rica,Personal Care,2017-05-08T00:00:00.000000000Z,456767165.0,6409.0,81.73
Zambia,Snacks,2011-01-04T00:00:00.000000000Z,122583663.0,4085.0,152.58
Djibouti,Snacks,2017-02-25T00:00:00.000000000Z,756274640.0,7327.0,152.58
Kenya,Vegetables,,827844560.0,,154.06
Kırgızstan,,2011-06-24T00:00:00.000000000Z,814711606.0,124.0,154.06
Libya,,2010-10-30T00:00:00.000000000Z,705784308.0,6116.0,109.28
Mexico,,2012-02-17T00:00:00.000000000Z,430915820.0,6422.0,81.73
Niger çç,,2017-03-11T00:00:00.000000000Z,,,81.73
