Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Honduras,Snacks,2016-06-30,795490682,2225,152.58
Iceland,Cosmetics,2016-12-31,331438481,8867,437.2
Iran,Cosmetics,2016-11-15,286959302,6489,437.2
Kenya,Vegetables,,827844560,,154.06
Kiribati,Fruits,2014-10-13,347140347,5398,9.33
Kuwait,Fruits,2012-04-30,,,9.33
Kırgızstan,,2011-06-24,814711606,124,154.06
Laos,Vegetables,2011-09-15,789176547,3732,154.06
Lebanon,Clothes,2012-09-18,,7884,
Lesotho,Fruits,2013-08-18,918419539,9606,9.33
Libya,Fruits,2015-08-14,816200339,673,9.33
Libya,,2010-10-30,705784308,6116,109.28
Lithuania,Office Supplies,2010-10-24,166460740,8287,651.21
Macedonia,Clothes,,787399423,7842,109.28
Madagascar,Clothes,2015-04-25,610425555,7342,109.28
Malaysia,,2011-11-11,810711038,6267,9.33
Mali,Fruits,2010-05-07,686048400,5822,9.33
Mauritania,Office Supplies,2012-01-11,837559306,1266,651.21
Mexico,,2012-02-17,430915820,6422,81.73
Mexico ŞŞ,Personal Care,2015-07-30,559427106,5767,81.73
Mexico ŞŞ ,Household,2014-11-06,986435210,6954,668.27
Moldova ,Personal Care,2016-05-07,740147912,5070,81.73
Monaco,Baby Food,,,,255.28
